Position Y,Position X,Position Z
106543.29,386353.92,8.53
106519.66,386359.65,8.52
106297.01,386354.55,8.52
106510.28,386365.58,8.55
106274.52,386369.64,8.58
106345.3,386351.12,8.57
106568.27,386372.26,8.55
106287.76,386367.53,8.51
106332.5,386364.55,8.4
106499.13,386373.73,8.37
106363.4,386354.8,8.35
106574.79,386364.27,8.43
106435.87,386374.6,8.46
106532.83,386365.7,8.44
106482.97,386364.35,8.43
106551.04,386362.12,8.6
106560.28,386357.56,8.71
106382.4,386369.56,8.7
106281.38,386351.77,8.7
106405.42,386365.26,8.73
106425.09,386351.46,8.79
105580,386375,8.78
106466.98,386365.03,8.75
106300.76,386367.95,8.7
106532.43,386354.92,8.62
106457.79,386354.13,8.61
106475.01,386371.32,8.6
106411.33,386355.64,8.62
106522.29,386369.82,8.69
106435.75,386355.26,8.69
106371.38,386361.54,8.64
106500.28,386352.02,8.35
105555,386365,4.62
105860,386345,12.21
105843.55,386333.72,12.17
105545,386355,4.75
106811.43,386375.27,5.87
106823.11,386369.27,5.43
105560,386375,4.77
105870,386345,12.16
105995,386345,12.14
105781.81,386331.6,12.14
105855,386335,12.13
105875,386335,12.15
105985,386350,12.16
105915,386350,12.15
105865,386335,12.15
105555,386355,6.2
105565,386355,8.07
106315.56,386369.98,8.05
106400.67,386354.67,8.05
106425.41,386363.92,8.11
106424.76,386373.96,8.28
106469.31,386353.5,8.15
106308.49,386358.36,8.14
106447.72,386361.04,8
106670.38,386368.94,7.34
105570,386375,7.25
105565,386365,7.04
106680.38,386362.94,7.44
106456.47,386370.23,8
106591.94,386359.38,7.88
106579.72,386373.13,7.83
105720,386355,11.41
106149.1,386371.77,11.41
106175,386374.99,11.4
106200,386365,11.47
106119.82,386358.61,11.51
106210,386360,11.49
106185,386360,11.48
106215,386375,11.39
106185,386370,11.19
105704.77,386369.23,10.93
106246.54,386362.3,10.9
106195,386374.99,11.24
105745.04,386356.64,11.37
106233.43,386372.55,11.3
106200,386354.99,11.25
106109,386364.41,11.53
106145,386360,11.67
106130.54,386361.22,11.65
105730,386360,11.64
106097.34,386371.47,11.67
106234.51,386354.28,11.7
106175,386360,11.67
105904.99,386361.28,11.67
106084.98,386353.24,11.64
106109.14,386351.88,11.58
105756.29,386370.56,11.55
106160,386360,11.54
106098.54,386359.97,11.58
106069.67,386364.63,11.64
106109.74,386374.78,11.63
105730,386370,11.6
105700,386360,10.75
105611.5,386355.83,9.25
105625.8,386367.22,9.25
106271.06,386354.35,9.21
105600.92,386359.64,9.26
106354.66,386360.23,9.38
105575,386355,9.35
105621.51,386354.57,9.33
106494.27,386362.97,9.18
105575,386365,8.86
106344.7,386364.9,8.83
106388.67,386358.08,8.81
106510.53,386353.54,9.02
105614.71,386366.34,9.12
106487.78,386352.58,9.11
106257.48,386361.67,9.02
105648.42,386372.25,9.39
105694.42,386372.79,10.23
105679.36,386366.49,10.09
105670.9,386359.85,10.04
105717.62,386368.84,10.28
105689.16,386363.65,10.38
105710.33,386358.8,10.33
105683.25,386355.18,10.29
105662.58,386373.54,9.99
105585,386365,9.67
105631.61,386354.45,9.5
105638.95,386361.3,9.43
105659.68,386362.97,9.73
105585,386355,9.89
105595,386370,9.87
105652.38,386351.74,9.83
105783.47,386341.55,12.12
105677.56,386345.39,10.17
105692.59,386327.71,10.11
105703.16,386346.45,10.07
105667.22,386335.12,10.17
105686.88,386339.14,10.55
105697.92,386336.52,10.28
105660.86,386326.46,10.2
105656.15,386339.47,10
105575,386335,9.8
105646.69,386343.09,9.73
105640.97,386334.11,9.67
105630.4,386333.07,9.85
105650.48,386330.14,9.99
105664.13,386349.83,9.94
105580,386345,9.87
105680.53,386328.67,10.61
106160,386344.99,11.46
106109.67,386332.3,11.44
